grid_id,gx,gy,cell_lon,cell_lat,mean_visits_2024,std_visits_2024,total_visits_2024,visits_2024
3344_46898,3344,46898,-83.00977072569178,42.34330254647817,3238.8060109289618,8086.935820175402,1185403.0,1185403.0
3312_46887,3312,46887,-83.04827327754647,42.33271479195534,3234.6284153005463,7961.06239880473,1183874.0,1183874.0
3049_46756,3049,46756,-83.36284504986853,42.20868913445591,3106.3497267759562,7818.608571728716,1136924.0,1136924.0
3186_46902,3186,46902,-83.20157635310447,42.34338087294615,3095.407103825137,7609.887742208855,1132919.0,1132919.0
3208_46975,3208,46975,-83.17715651742384,42.40958729105517,3047.0,7526.0366709628515,1115202.0,1115202.0
3415_46968,3415,46968,-82.92554980255592,42.407787579588216,3045.601092896175,7456.120577046241,1114690.0,1114690.0
3311_46889,3311,46889,-83.04954478520432,42.33449318197669,2993.6721311475408,7425.549700292795,1095684.0,1095684.0
3176_47014,3176,47014,-83.21725425007567,42.44393937837707,2952.7049180327867,7215.294759765791,1080690.0,1080690.0
3052_46754,3052,46754,-83.35914681940064,42.206964176616765,2929.6775956284155,7193.1855958451415,1072262.0,1072262.0
3288_46928,3288,46928,-83.07860182096607,42.36909158243734,2927.224043715847,7625.987938081966,1071364.0,1071364.0
3316_46883,3316,46883,-83.04330453373566,42.32920123587522,2890.9508196721313,7594.332213438724,1058088.0,1058088.0
3289_46886,3289,46886,-83.0761432061539,42.33131279732265,2845.707650273224,7108.901364959106,1041529.0,1041529.0
3308_46893,3308,46893,-83.05330115780666,42.33802818709431,2816.8032786885246,7395.981709156335,1030950.0,1030950.0
3222_46975,3222,46975,-83.16015452494631,42.409909072883124,2771.1639344262294,6866.208807517149,1014246.0,1014246.0
3317_46885,3317,46885,-83.04214980923743,42.3310229361496,2679.6338797814205,6900.663438236494,980746.0,980746.0
3313_46887,3313,46887,-83.04706023790148,42.33273646296831,2670.412568306011,6742.944109932849,977371.0,977371.0
3129_46988,3129,46988,-83.27351374148529,42.41942289220392,2640.4890710382515,6473.398976158149,966419.0,966419.0
3321_46887,3321,46887,-83.0373558727077,42.332909369419184,2581.1748633879783,6477.105828169979,944710.0,944710.0
3294_46886,3294,46886,-83.07007823549138,42.33142249538089,2511.363387978142,6355.062537401814,919159.0,919159.0
3126_47008,3126,47008,-83.2778091743319,42.43734826479975,2491.3005464480875,6077.128805301826,911816.0,911816.0
3299_46914,3299,46914,-83.06483805865199,42.35673262440823,2437.877049180328,5997.877932446889,892263.0,892263.0
