grid_id,gx,gy,cell_lon,cell_lat,visits_2025,visitors_2025
3295_46894,3295,46894,-83.0691013472721,42.338644601985784,1240599.0,957449.0
3106_46960,3106,46960,-83.30052620018385,42.393668696702974,1227054.0,789461.0
3316_46883,3316,46883,-83.04330453373566,42.32920123587522,1201662.0,996271.0
3186_46902,3186,46902,-83.20157635310447,42.34338087294615,1192694.0,925162.0
3312_46887,3312,46887,-83.04827327754647,42.33271479195534,1192672.0,909620.0
3223_47015,3223,47015,-83.16017630569279,42.44593029792077,1170291.0,910181.0
3176_47014,3176,47014,-83.21725425007567,42.44393937837707,1155131.0,910998.0
3288_46928,3288,46928,-83.07860182096607,42.36909158243734,1127264.0,992231.0
3415_46968,3415,46968,-82.92554980255592,42.407787579588216,1111377.0,767615.0
3235_47014,3235,47014,-83.14556387781552,42.445304330520756,1109992.0,829116.0
3129_46988,3129,46988,-83.27351374148529,42.41942289220392,1087796.0,931962.0
3052_46754,3052,46754,-83.35914681940064,42.206964176616765,1034000.0,938528.0
3308_46893,3308,46893,-83.05330115780666,42.33802818709431,1021135.0,955388.0
3289_46886,3289,46886,-83.0761432061539,42.33131279732265,1017064.0,888774.0
3208_46975,3208,46975,-83.17715651742384,42.40958729105517,1013327.0,798703.0
3317_46885,3317,46885,-83.04214980923743,42.3310229361496,989866.0,736921.0
3311_46889,3311,46889,-83.04954478520432,42.33449318197669,988132.0,852869.0
3365_46984,3365,46984,-82.98673160500516,42.42115204595915,974792.0,825415.0
3049_46756,3049,46756,-83.36284504986853,42.20868913445591,972061.0,883771.0
3375_47015,3375,47015,-82.97546011930777,42.449263944544676,961403.0,758715.0
3294_46886,3294,46886,-83.07007823549138,42.33142249538089,955001.0,811099.0
3238_47003,3238,47003,-83.14158116679722,42.43547290106659,952342.0,779521.0
3313_46887,3313,46887,-83.04706023790148,42.33273646296831,943680.0,718892.0
3170_46902,3170,46902,-83.22098614151481,42.34300637027706,932856.0,696380.0
3156_47014,3156,47014,-83.24155493066327,42.44346651579183,926981.0,692118.0
3126_47008,3126,47008,-83.2778091743319,42.43734826479975,923786.0,717288.0
3222_46975,3222,46975,-83.16015452494631,42.409909072883124,921191.0,677762.0
3321_46887,3321,46887,-83.0373558727077,42.332909369419184,919869.0,810841.0
