grid_id,gx,gy,cell_lon,cell_lat,mean_visits_2024,std_visits_2024,total_visits_2024,visits_2024
3052_46756,3052,46756,-83.35921382278624,42.2087639148491,393793.5471698113,41288.25968474506,20871058.0,20871058.0
3053_46756,3053,46756,-83.35800341069549,42.20878881612681,352854.58490566036,37591.121553353754,18701293.0,18701293.0
3295_46915,3295,46915,-83.06972154736151,42.35754509305293,247183.8679245283,44870.1178484888,13100745.0,13100745.0
3054_46755,3054,46755,-83.35675952891577,42.20791383404898,139839.0754716981,20081.89641391494,7411471.0,7411471.0
3302_46888,3302,46888,-83.06043298979989,42.3333974074094,91172.90566037736,7767.000944402243,4832164.0,4832164.0
3319_46883,3319,46883,-83.03966560204515,42.32926604843243,75038.62264150943,32983.63009658225,3977047.0,3977047.0
3318_46884,3318,46884,-83.04090768837024,42.33014449945832,71469.0,9204.046474754132,3787857.0,3787857.0
3296_46900,3296,46900,-83.06806524507091,42.34406664735267,67312.92452830188,12302.649795645815,3567585.0,3567585.0
3311_46880,3311,46880,-83.049281715264,42.32639284463346,61676.79245283019,22426.58965936143,3268870.0,3268870.0
3257_47012,3257,47012,-83.11876993113601,42.44400186825875,60377.35849056604,3751.1839242762635,3200000.0,3200000.0
3146_46979,3146,46979,-83.25257652604046,42.41173159288757,56878.11320754717,3658.546730036846,3014540.0,3014540.0
3228_46887,3228,46887,-83.1501637570667,42.330848650722324,56325.84905660377,6294.034445398087,2985270.0,2985270.0
3286_46873,3286,46873,-83.07939665782175,42.319546549602336,52904.83018867925,9937.512107951992,2803956.0,2803956.0
3314_46895,3314,46895,-83.04608069180094,42.33995842909652,49849.32075471698,39382.686610624995,2642014.0,2642014.0
3226_46885,3226,46885,-83.15252820230965,42.329003160140644,49144.03773584906,8188.915805773539,2604634.0,2604634.0
3318_46889,3318,46889,-83.04105324716478,42.33464470903483,48117.28301886792,6116.025214903409,2550216.0,2550216.0
3053_46755,3053,46755,-83.35796992538698,42.207888946311634,44563.622641509435,4243.725935998309,2361872.0,2361872.0
3319_46884,3319,46884,-83.03969469253722,42.330166091498654,42719.88679245283,15609.05828044339,2264154.0,2264154.0
3307_46896,3307,46896,-83.0546022318694,42.340706547408466,41677.52830188679,26651.043022248254,2208909.0,2208909.0
3312_46894,3312,46894,-83.04847782275372,42.339015052447614,40406.16981132075,41826.83111634581,2141527.0,2141527.0
3223_46832,3223,46832,-83.15453906613902,42.2812358125245,40254.22641509434,10087.09584332923,2133474.0,2133474.0
3310_46891,3310,46891,-83.05081636597365,42.33627155582137,37223.0,6216.033853505346,1972819.0,1972819.0
3057_46762,3057,46762,-83.35336227936138,42.21428752781237,33958.84905660377,6565.423443776038,1799819.0,1799819.0
3296_46895,3296,46895,-83.06791771208606,42.33956652145239,30908.962264150945,2371.555464105936,1638175.0,1638175.0
3316_46889,3316,46889,-83.04347940756374,42.334601479712056,30066.43396226415,7470.194585906005,1593521.0,1593521.0
