grid_id,date,gx,gy,cell_lon,cell_lat,mean_visits_2024,std_visits_2024,total_visits_2024,city_visits_lag1,weekend_share_lag1,OT
3049_46756,2024-01-01,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,0.0,0.0,9.59859149934966
3049_46756,2024-01-08,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,2756594.0,0.3553113553113312,9.730561717382535
3049_46756,2024-01-15,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,2866281.0,0.15141787051898511,9.926080401188763
3049_46756,2024-01-22,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,2963673.0,0.28863358592029875,9.838308826511133
3049_46756,2024-01-29,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3021140.0,0.3205593509820495,9.408289184655837
3049_46756,2024-02-05,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3086386.0,0.20187099950761514,10.050570457237374
3049_46756,2024-02-12,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3077552.0,0.31124827348064954,10.104180975012746
3049_46756,2024-02-19,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3257458.0,0.20281436635849615,10.142228824473392
3049_46756,2024-02-26,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3648167.0,0.21714128165740212,10.298834982456007
3049_46756,2024-03-04,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3734826.0,0.361799568965505,10.205331372394003
3049_46756,2024-03-11,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3422352.0,0.44239443910373283,10.252664456297504
3049_46756,2024-03-18,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3613189.0,0.2442869234024459,10.136898216206115
3049_46756,2024-03-25,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3686978.0,0.4322023833089025,10.356789990058452
3049_46756,2024-04-01,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3652148.0,0.3386722598277453,10.25410921226176
3049_46756,2024-04-08,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3867732.0,0.30651408450703144,9.875036636362113
3049_46756,2024-04-15,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3665205.0,0.15217614980964336,10.06330784398357
3049_46756,2024-04-22,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3594510.0,0.27832942680586925,10.018956802342242
3049_46756,2024-04-29,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,4022101.0,0.27691896467232696,9.803501457660202
3049_46756,2024-05-06,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3524904.0,0.23159814323606145,9.959442464680574
3049_46756,2024-05-13,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3492677.0,0.29079992435702107,9.726690706384874
3049_46756,2024-05-20,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3426283.0,0.39029775046241477,10.122301745689109
3049_46756,2024-05-27,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3469183.0,0.1927604354987669,9.655923226680237
3049_46756,2024-06-03,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3696348.0,0.21038811323170165,10.259026851874566
3049_46756,2024-06-10,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3776856.0,0.29587975614882295,10.221432063114797
3049_46756,2024-06-17,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3837662.0,0.36678188102600084,10.306650011581617
3049_46756,2024-06-24,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3992875.0,0.2851987971934419,10.104712639749316
3049_46756,2024-07-01,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3867175.0,0.16742303446583395,10.051562670601491
3049_46756,2024-07-08,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3377650.0,0.2321058985857092,10.168502147925643
3049_46756,2024-07-15,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,4080028.0,0.29164428757767624,9.978826909081944
3049_46756,2024-07-22,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3774884.0,0.24284720612101818,10.129786121543638
3049_46756,2024-07-29,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3795924.0,0.2882606268442345,9.93663215112843
3049_46756,2024-08-05,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3826586.0,0.18686209064963058,10.312081095318824
3049_46756,2024-08-12,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3843655.0,0.23791327463032935,10.053027619805704
3049_46756,2024-08-19,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3794085.0,0.28265736674415387,9.922260237859412
3049_46756,2024-08-26,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3807576.0,0.19158855572458205,10.079581424158677
3049_46756,2024-09-02,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3722231.0,0.26763102725365756,9.680781405546698
3049_46756,2024-09-09,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3627422.0,0.27542478760617967,9.954180666851647
3049_46756,2024-09-16,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3851176.0,0.14943676030228864,10.037668734002148
3049_46756,2024-09-23,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3495268.0,0.4064973110051853,9.569342605674006
3049_46756,2024-09-30,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3660223.0,0.2827407976531199,9.944005500839015
3049_46756,2024-10-07,3049.0,46756.0,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,3565748.0,0.2439750360057492,9.573593631275038
