rank_rmse,component,experiment,source_file,n,mae,rmse,mape_pct,smape_pct,r2,corr,bias
1,crowd_prediction,cmp0428_sp8,E:\Urban Computing Final Project\Try_0412\panel_training_0426\outputs_cmp\cmp0428_sp8\validation\overall_metrics.json,5200,5179.782450655423,12131.621521230107,19.630382398776778,15.302601397547594,0.9607726817956274,0.9804264543606146,426.49023892916165
2,crowd_prediction,abl_g3_weekend_spstd,E:\Urban Computing Final Project\Try_0412\panel_training_0426\outputs_abl\abl_g3_weekend_spstd\validation\overall_metrics.json,5200,5275.980068030724,12454.843783404664,19.752091380729002,15.42642897529719,0.9586545729464835,0.9797493506423328,729.3406487098107
3,crowd_prediction,cmp0428_base,E:\Urban Computing Final Project\Try_0412\panel_training_0426\outputs_cmp\cmp0428_base\validation\overall_metrics.json,5200,5320.561865469125,12646.030631828848,19.24007559023502,15.388768113118614,0.9573754927418348,0.9785396812598213,-717.489227717473
4,crowd_prediction,cmp0428_sp8_stdonly,E:\Urban Computing Final Project\Try_0412\panel_training_0426\outputs_cmp\cmp0428_sp8_stdonly\validation\overall_metrics.json,5200,5440.943438579853,12778.059648553888,19.0878925172189,15.803727297456401,0.9564808168732113,0.9781598152998265,-501.5642345721905
5,crowd_prediction,abl_g1_baseline,E:\Urban Computing Final Project\Try_0412\panel_training_0426\outputs_abl\abl_g1_baseline\validation\overall_metrics.json,5200,5516.307362107497,12979.49103340671,18.746083181699532,15.634899057711394,0.955097942863975,0.977926905161547,291.2701674710787
6,crowd_prediction,cmp0428_sp8_meanstd,E:\Urban Computing Final Project\Try_0412\panel_training_0426\outputs_cmp\cmp0428_sp8_meanstd\validation\overall_metrics.json,5200,5686.483621215821,13108.368907161524,19.56033021767225,16.22932852609949,0.9542018196470202,0.9769396740961059,-764.7838047907902
7,crowd_prediction,abl_g2_weekend,E:\Urban Computing Final Project\Try_0412\panel_training_0426\outputs_abl\abl_g2_weekend\validation\overall_metrics.json,5200,5888.627057495117,13983.45905327039,21.236475176702374,16.621965697663505,0.9478829118950791,0.975241715575386,945.1112533334585
